#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# Interpolated-NKPTS & NBANDS:  231424
# Band-Index    1
   0.64041    -25.961804    -25.962498
   0.68515    -25.961801    -25.962495
   0.72989    -25.961797    -25.962491
   0.77463    -25.961795    -25.962488
   0.81937    -25.961793    -25.962485
   0.86411    -25.961793    -25.962484
 
# Band-Index   24
   0.86411    -25.945986    -25.949247
   0.81937    -25.945986    -25.949247
   0.77463    -25.945987    -25.949248
   0.72989    -25.945988    -25.949250
   0.68515    -25.945991    -25.949253
   0.64041    -25.945993    -25.949255
   0.59566    -25.945995    -25.949257
   0.55092    -25.945996    -25.949258
   0.50618    -25.945997    -25.949260
   0.50618    -25.945997    -25.949260
   0.46400    -25.945996    -25.949258
   0.42182    -25.945994    -25.949256
   0.37964    -25.945991    -25.949252
   0.33746    -25.945988    -25.949249
   0.29527    -25.945985    -25.949246
   0.25309    -25.945984    -25.949246
   0.25309    -25.945984    -25.949246
   0.21091    -25.945984    -25.949246
   0.16873    -25.945985    -25.949246
   0.12655    -25.945985    -25.949246
   0.08436    -25.945985    -25.949246
   0.04218    -25.945985    -25.949246
   0.00000    -25.945986    -25.949247
 
# Band-Index   25
   0.00000    -25.939217    -25.943358
   0.04218    -25.939217    -25.943357
   0.08436    -25.939217    -25.943357
   0.12655    -25.939216    -25.943356
   0.16873    -25.939216    -25.943355
   0.21091    -25.939215    -25.943354
   0.25309    -25.939216    -25.943355
   0.25309    -25.939216    -25.943355
   0.29527    -25.939215    -25.943354
   0.33746    -25.939215    -25.943354
   0.37964    -25.939214    -25.943352
   0.42182    -25.939214    -25.943351
   0.46400    -25.939213    -25.943350
   0.50618    -25.939214    -25.943350
   0.50618    -25.939214    -25.943350
   0.55092    -25.939212    -25.943349
   0.59566    -25.939212    -25.943350
   0.64041    -25.939212    -25.943351
   0.68515    -25.939213    -25.943353
   0.72989    -25.939214    -25.943355
   0.77463    -25.939215    -25.943356
   0.81937    -25.939216    -25.943357
   0.86411    -25.939217    -25.943358
 
# Band-Index   26
   0.86411    -25.926659    -25.932517
   0.81937    -25.926670    -25.932524
   0.77463    -25.926693    -25.932540
   0.72989    -25.926727    -25.932563
   0.68515    -25.926773    -25.932595
   0.64041    -25.926819    -25.932627
   0.59566    -25.926854    -25.932652
   0.55092    -25.926879    -25.932670
   0.50618    -25.926893    -25.932681
   0.50618    -25.926893    -25.932681
   0.46400    -25.926892    -25.932680
   0.42182    -25.926892    -25.932680
   0.37964    -25.926892    -25.932679
   0.33746    -25.926892    -25.932679
   0.29527    -25.926891    -25.932678
   0.25309    -25.926891    -25.932678
   0.25309    -25.926891    -25.932678
   0.21091    -25.926871    -25.932665
   0.16873    -25.926833    -25.932638
   0.12655    -25.926774    -25.932597
   0.08436    -25.926716    -25.932556
   0.04218    -25.926677    -25.932529
   0.00000    -25.926659    -25.932517
 
# Band-Index   27
   0.00000    -25.919027    -25.920320
   0.04218    -25.919026    -25.920320
   0.08436    -25.919026    -25.920320
   0.12655    -25.919025    -25.920319
   0.16873    -25.919024    -25.920319
   0.21091    -25.919023    -25.920318
   0.25309    -25.919024    -25.920319
   0.25309    -25.919024    -25.920319
